<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.15	06:30:00	18069.2	18071.5	18069.1	18069.8	82	0	18
2024.04.15	06:31:00	18070.1	18072.9	18070.0	18070.9	69	0	18
2024.04.15	06:32:00	18071.5	18073.7	18071.5	18072.9	44	0	20
2024.04.15	06:33:00	18072.7	18075.9	18072.6	18075.9	73	0	20
2024.04.15	06:34:00	18075.7	18076.0	18073.4	18074.9	50	0	18
2024.04.15	06:35:00	18075.0	18075.9	18075.0	18075.0	41	0	18
2024.04.15	06:36:00	18075.5	18083.2	18075.4	18082.6	101	0	18
2024.04.15	06:37:00	18083.2	18087.0	18083.2	18085.4	90	0	18
2024.04.15	06:38:00	18085.2	18086.0	18083.0	18084.4	60	0	18
2024.04.15	06:39:00	18084.0	18085.2	18083.7	18083.7	40	0	18
2024.04.15	06:40:00	18083.9	18083.9	18081.5	18082.9	67	0	18
2024.04.15	06:41:00	18083.3	18085.5	18082.4	18085.2	46	0	18
2024.04.15	06:42:00	18085.3	18086.7	18083.7	18084.7	61	0	18
2024.04.15	06:43:00	18084.9	18085.7	18083.6	18083.6	46	0	18
2024.04.15	06:44:00	18083.7	18083.9	18081.7	18082.0	53	0	18
2024.04.15	06:45:00	18081.8	18082.1	18079.1	18080.5	82	0	18
2024.04.15	06:46:00	18081.5	18081.5	18078.6	18078.9	52	0	18
2024.04.15	06:47:00	18079.0	18081.5	18078.7	18080.9	33	0	20
2024.04.15	06:48:00	18081.1	18082.2	18080.7	18081.5	46	0	20
2024.04.15	06:49:00	18081.4	18081.4	18079.0	18080.0	43	0	18
2024.04.15	06:50:00	18079.9	18080.6	18076.8	18077.8	56	0	18
2024.04.15	06:51:00	18078.0	18080.1	18077.1	18080.1	51	0	18
